id_penjualan,kode_barang,tanggal_penjualan,jumlah_terjual,harga_penjualan
1,BRG001,01/15/2023,20,80000
2,BRG002,01/16/2023,30,100000
3,BRG003,01/17/2023,50,150000
4,BRG004,01/18/2023,20,35000
5,BRG005,01/19/2023,30,45000
6,BRG006,01/20/2023,20,95000
7,BRG007,01/21/2023,10,160000
8,BRG008,01/22/2023,20,70000
9,BRG009,01/23/2023,10,140000
10,BRG010,01/24/2023,5,150000
11,BRG011,01/25/2023,10,110000
12,BRG012,01/26/2023,15,65000
13,BRG013,01/27/2023,10,220000
14,BRG014,01/28/2023,10,85000
15,BRG015,01/29/2023,30,60000
16,BRG016,01/30/2023,15,75000
17,BRG017,01/31/2023,20,50000
18,BRG018,02/01/2023,10,280000
19,BRG019,02/02/2023,30,45000
20,BRG020,02/03/2023,10,130000
